Unnamed: 0,pump
8 days 02:00:00,1.34
8 days 02:15:00,1.38
8 days 02:30:00,1.21
8 days 02:45:00,1.33
8 days 03:00:00,1.43
8 days 03:15:00,1.44
8 days 03:30:00,1.45
8 days 03:45:00,1.39
8 days 04:00:00,1.45
8 days 04:15:00,1.29
8 days 04:30:00,1.27
8 days 04:45:00,1.32
8 days 05:00:00,1.65
8 days 05:15:00,1.7
8 days 05:30:00,1.8
8 days 05:45:00,2.01
8 days 06:00:00,2.08
8 days 06:15:00,2.69
8 days 06:30:00,3.25
8 days 06:45:00,3.27
8 days 07:00:00,4.52
8 days 07:15:00,5.19
8 days 07:30:00,6.55
8 days 07:45:00,6.57
8 days 08:00:00,7.18
8 days 08:15:00,7.69
8 days 08:30:00,8.26
8 days 08:45:00,8.65
8 days 09:00:00,8.83
8 days 09:15:00,8.78
8 days 09:30:00,8.41
8 days 09:45:00,8.65
8 days 10:00:00,9.02
8 days 10:15:00,9.06
8 days 10:30:00,8.19
8 days 10:45:00,9.37
8 days 11:00:00,8.16
8 days 11:15:00,8.34
8 days 11:30:00,8.18
8 days 11:45:00,7.94
8 days 12:00:00,8.08
8 days 12:15:00,8.05
8 days 12:30:00,8.29
8 days 12:45:00,7.98
8 days 13:00:00,7.4
8 days 13:15:00,7.47
8 days 13:30:00,7.66
8 days 13:45:00,7.1
8 days 14:00:00,6.68
8 days 14:15:00,7.49
8 days 14:30:00,7.53
8 days 14:45:00,6.71
8 days 15:00:00,6.79
8 days 15:15:00,6.79
8 days 15:30:00,7.22
8 days 15:45:00,7.95
8 days 16:00:00,8.4
8 days 16:15:00,8.36
8 days 16:30:00,8.68
8 days 16:45:00,8.54
8 days 17:00:00,7.75
8 days 17:15:00,7.31
8 days 17:30:00,7.62
8 days 17:45:00,7.67
8 days 18:00:00,7.79
8 days 18:15:00,8.34
8 days 18:30:00,7.49
8 days 18:45:00,6.9
8 days 19:00:00,6.14
8 days 19:15:00,6.68
8 days 19:30:00,5.45
8 days 19:45:00,4.96
8 days 20:00:00,4.3
8 days 20:15:00,4.13
8 days 20:30:00,3.85
8 days 20:45:00,5.59
8 days 21:00:00,4.72
8 days 21:15:00,4.86
8 days 21:30:00,4.65
8 days 21:45:00,3.94
8 days 22:00:00,3.38
8 days 22:15:00,3.58
8 days 22:30:00,3.02
8 days 22:45:00,2.78
8 days 23:00:00,2.09
8 days 23:15:00,2.07
8 days 23:30:00,2.22
8 days 23:45:00,1.81
9 days 00:00:00,1.6
9 days 00:15:00,1.48
9 days 00:30:00,1.62
9 days 00:45:00,1.49
9 days 01:00:00,1.32
9 days 01:15:00,1.24
9 days 01:30:00,1.29
9 days 01:45:00,1.19
9 days 02:00:00,1.08
9 days 02:15:00,1.28
9 days 02:30:00,1.45
9 days 02:45:00,1.25
9 days 03:00:00,1.44
9 days 03:15:00,1.72
9 days 03:30:00,2.03
9 days 03:45:00,1.94
9 days 04:00:00,2.44
9 days 04:15:00,2.9
9 days 04:30:00,3.54
9 days 04:45:00,4.25
9 days 05:00:00,6.7
9 days 05:15:00,7.0
9 days 05:30:00,7.95
9 days 05:45:00,7.79
9 days 06:00:00,7.17
9 days 06:15:00,7.02
9 days 06:30:00,6.59
9 days 06:45:00,7.01
9 days 07:00:00,6.71
9 days 07:15:00,6.52
9 days 07:30:00,6.2
9 days 07:45:00,6.26
9 days 08:00:00,6.39
9 days 08:15:00,6.55
9 days 08:30:00,6.12
9 days 08:45:00,6.77
9 days 09:00:00,5.91
9 days 09:15:00,5.86
9 days 09:30:00,6.04
9 days 09:45:00,5.28
9 days 10:00:00,5.57
9 days 10:15:00,5.36
9 days 10:30:00,5.23
9 days 10:45:00,5.45
9 days 11:00:00,5.14
9 days 11:15:00,5.06
9 days 11:30:00,5.13
9 days 11:45:00,5.8
9 days 12:00:00,5.58
9 days 12:15:00,4.7
9 days 12:30:00,5.2
9 days 12:45:00,5.39
9 days 13:00:00,4.81
9 days 13:15:00,5.29
9 days 13:30:00,4.88
9 days 13:45:00,4.41
9 days 14:00:00,4.63
9 days 14:15:00,5.05
9 days 14:30:00,4.42
9 days 14:45:00,4.72
9 days 15:00:00,5.31
9 days 15:15:00,4.87
9 days 15:30:00,5.18
9 days 15:45:00,5.98
9 days 16:00:00,5.9
9 days 16:15:00,6.09
9 days 16:30:00,6.25
9 days 16:45:00,6.05
9 days 17:00:00,6.35
9 days 17:15:00,6.33
9 days 17:30:00,6.58
9 days 17:45:00,6.99
9 days 18:00:00,6.81
9 days 18:15:00,6.77
9 days 18:30:00,6.03
9 days 18:45:00,6.5
9 days 19:00:00,6.58
9 days 19:15:00,5.05
9 days 19:30:00,5.09
9 days 19:45:00,5.02
9 days 20:00:00,4.16
9 days 20:15:00,4.01
9 days 20:30:00,4.48
