Unnamed: 0,p1,p3,p2
6 days 06:45:00,103.64,113.31,41.29
6 days 07:00:00,103.64,113.3,41.29
6 days 07:15:00,103.64,113.29,41.15
6 days 07:30:00,103.65,113.28,41.18
6 days 07:45:00,103.65,113.3,41.26
6 days 08:00:00,103.64,113.3,41.15
6 days 08:15:00,103.64,113.3,41.15
6 days 08:30:00,103.64,113.29,41.28
6 days 08:45:00,103.64,113.29,41.15
6 days 09:00:00,103.64,113.29,41.08
6 days 09:15:00,103.64,113.3,41.19
6 days 09:30:00,103.64,113.27,41.09
6 days 09:45:00,103.64,113.29,41.08
6 days 10:00:00,103.64,113.28,41.07
6 days 10:15:00,103.64,113.28,41.09
6 days 10:30:00,103.64,113.3,41.21
6 days 10:45:00,103.64,113.3,41.15
6 days 11:00:00,103.64,113.31,41.28
6 days 11:15:00,103.64,113.3,41.27
6 days 11:30:00,103.64,113.29,41.22
6 days 11:45:00,103.65,113.3,41.2
6 days 12:00:00,103.64,113.3,41.18
6 days 12:15:00,103.64,113.3,41.23
6 days 12:30:00,103.65,113.31,41.3
6 days 12:45:00,103.64,113.31,41.26
6 days 13:00:00,103.65,113.29,41.23
6 days 13:15:00,103.65,113.28,41.19
6 days 13:30:00,103.65,113.3,41.36
6 days 13:45:00,103.64,113.31,41.35
